neighbourhood_group,neighbourhood,room_type,price,availability_365
Brooklyn,Kensington,Private room,149,365
Manhattan,Midtown,Entire home_apt,225,355
Manhattan,Harlem,Private room,150,365
Brooklyn,Clinton Hill,Entire home_apt,89,194
Manhattan,East Harlem,Entire home_apt,80,0
Manhattan,Murray Hill,Entire home_apt,200,129
Brooklyn,Bedford-Stuyvesant,Private room,60,0
Manhattan,Hell's Kitchen,Private room,79,220
Manhattan,Upper West Side,Private room,79,0
Manhattan,Chinatown,Entire home_apt,150,188
Manhattan,Upper West Side,Entire home_apt,135,6
Manhattan,Hell's Kitchen,Private room,85,39
Brooklyn,South Slope,Private room,89,314
Manhattan,Upper West Side,Private room,85,333
Manhattan,West Village,Entire home_apt,120,0
Brooklyn,Williamsburg,Entire home_apt,140,46
Brooklyn,Fort Greene,Entire home_apt,215,321
Manhattan,Chelsea,Private room,140,12
Brooklyn,Crown Heights,Entire home_apt,99,21
Manhattan,East Harlem,Entire home_apt,190,249
Brooklyn,Williamsburg,Entire home_apt,299,0
Brooklyn,Park Slope,Private room,130,347
Brooklyn,Park Slope,Private room,80,364
Brooklyn,Park Slope,Private room,110,304
Brooklyn,Bedford-Stuyvesant,Entire home_apt,120,233
Brooklyn,Windsor Terrace,Private room,60,85
Manhattan,Inwood,Private room,80,0
Manhattan,Hell's Kitchen,Entire home_apt,150,75
Manhattan,Inwood,Private room,44,311
Manhattan,East Village,Entire home_apt,180,67
Manhattan,Harlem,Private room,50,355
Manhattan,Harlem,Private room,52,255
Brooklyn,Greenpoint,Private room,55,284
Manhattan,Harlem,Private room,50,359
Brooklyn,Bedford-Stuyvesant,Private room,70,269
Brooklyn,South Slope,Private room,89,340
Brooklyn,Bedford-Stuyvesant,Private room,35,365
Brooklyn,Bushwick,Entire home_apt,85,22
Brooklyn,Flatbush,Private room,150,365
Manhattan,Lower East Side,Shared room,40,188
Manhattan,East Village,Private room,68,96
Brooklyn,South Slope,Entire home_apt,120,345
Brooklyn,Fort Greene,Private room,120,311
Manhattan,Upper West Side,Private room,135,273
Manhattan,Harlem,Entire home_apt,150,309
Brooklyn,Prospect-Lefferts Gardens,Entire home_apt,150,95
Queens,Long Island City,Private room,130,215
Brooklyn,Bedford-Stuyvesant,Entire home_apt,110,265
Brooklyn,Bedford-Stuyvesant,Entire home_apt,115,0
Brooklyn,Fort Greene,Private room,80,192
Brooklyn,Bedford-Stuyvesant,Private room,80,251
Manhattan,Upper West Side,Entire home_apt,151,302
Brooklyn,Williamsburg,Entire home_apt,228,140
Brooklyn,Greenpoint,Entire home_apt,144,234
Manhattan,Kips Bay,Entire home_apt,200,257
Brooklyn,Williamsburg,Entire home_apt,150,30
Manhattan,Lower East Side,Private room,110,301
Manhattan,Hell's Kitchen,Private room,69,294
Brooklyn,Greenpoint,Private room,49,320
Manhattan,SoHo,Entire home_apt,180,154
Brooklyn,Williamsburg,Private room,80,263
Manhattan,Chelsea,Entire home_apt,375,180
Manhattan,Upper East Side,Entire home_apt,250,231
Brooklyn,Prospect Heights,Entire home_apt,200,297
Brooklyn,Clinton Hill,Private room,55,292
Manhattan,Hell's Kitchen,Private room,52,191
Brooklyn,Park Slope,Entire home_apt,225,0
Manhattan,East Village,Private room,80,72
Brooklyn,Williamsburg,Entire home_apt,275,362
Manhattan,East Village,Private room,99,336
Manhattan,East Harlem,Entire home_apt,225,215
Manhattan,East Village,Entire home_apt,230,116
Manhattan,Hell's Kitchen,Private room,51,88
Manhattan,Washington Heights,Private room,65,336
Brooklyn,Clinton Hill,Private room,105,304
Manhattan,East Village,Entire home_apt,190,224
Manhattan,Upper East Side,Private room,200,322
Queens,Woodside,Private room,70,324
Brooklyn,Fort Greene,Private room,95,132
Manhattan,Chelsea,Private room,150,295
Brooklyn,Williamsburg,Private room,145,238
Manhattan,Harlem,Entire home_apt,110,209
Manhattan,Lower East Side,Entire home_apt,285,328
Brooklyn,Flatbush,Entire home_apt,130,38
Manhattan,Lower East Side,Private room,94,188
Brooklyn,Brooklyn Heights,Entire home_apt,800,7
Brooklyn,Williamsburg,Entire home_apt,105,272
Manhattan,East Village,Private room,60,26
Manhattan,East Village,Private room,50,0
Brooklyn,Williamsburg,Private room,85,288
Brooklyn,Bushwick,Private room,65,317
Brooklyn,Prospect Heights,Entire home_apt,131,207
Brooklyn,Clinton Hill,Private room,98,185
Brooklyn,Prospect Heights,Entire home_apt,250,158
Brooklyn,Williamsburg,Entire home_apt,100,0
Brooklyn,Bushwick,Entire home_apt,105,9
Manhattan,Upper West Side,Entire home_apt,140,198
Manhattan,Harlem,Private room,89,365
Manhattan,Chelsea,Private room,98,364
Brooklyn,Bedford-Stuyvesant,Entire home_apt,125,311
Manhattan,Harlem,Private room,60,219
Brooklyn,Carroll Gardens,Entire home_apt,175,342
Manhattan,Washington Heights,Private room,65,312
Manhattan,West Village,Entire home_apt,500,243
Brooklyn,Williamsburg,Private room,101,152
Brooklyn,Park Slope,Entire home_apt,220,9
Brooklyn,Bedford-Stuyvesant,Entire home_apt,125,137
Brooklyn,Williamsburg,Entire home_apt,80,222
Manhattan,Harlem,Private room,100,346
Brooklyn,Gowanus,Entire home_apt,200,208
Manhattan,Hell's Kitchen,Private room,59,279
Brooklyn,Clinton Hill,Private room,125,250
Manhattan,East Village,Entire home_apt,140,164
Brooklyn,South Slope,Entire home_apt,120,192
Manhattan,East Village,Entire home_apt,350,298
Manhattan,Kips Bay,Entire home_apt,199,260
Brooklyn,Williamsburg,Entire home_apt,325,107
Manhattan,Upper West Side,Entire home_apt,235,199
Manhattan,East Village,Entire home_apt,225,299
Brooklyn,South Slope,Private room,99,20
Manhattan,Harlem,Entire home_apt,170,318
Brooklyn,South Slope,Entire home_apt,400,216
Manhattan,Upper West Side,Entire home_apt,170,224
Manhattan,East Village,Entire home_apt,100,0
Brooklyn,Prospect-Lefferts Gardens,Private room,75,324
Brooklyn,Williamsburg,Private room,90,245
Manhattan,Upper East Side,Entire home_apt,150,189
Manhattan,Washington Heights,Private room,85,307
Brooklyn,Bedford-Stuyvesant,Private room,70,310
Manhattan,Harlem,Entire home_apt,120,213
Brooklyn,Clinton Hill,Private room,89,278
Manhattan,East Village,Entire home_apt,185,209
Brooklyn,Greenpoint,Private room,50,0
Manhattan,Lower East Side,Entire home_apt,105,16
Manhattan,Hell's Kitchen,Private room,130,234
Manhattan,West Village,Entire home_apt,115,12
Brooklyn,Flatlands,Private room,77,178
Brooklyn,Clinton Hill,Private room,76,275
Brooklyn,Bedford-Stuyvesant,Entire home_apt,125,163
Brooklyn,Clinton Hill,Private room,135,365
Brooklyn,Greenpoint,Entire home_apt,250,34
Brooklyn,Williamsburg,Entire home_apt,199,280
Brooklyn,Cobble Hill,Entire home_apt,140,0
